"Year","Quarter","MeanBT","CVofBT"
"1991",1,4.84864162711238,0.453110350485248
"1991",3,15.8989627787981,0.15396802973969
"1992",1,5.67460735511951,0.290785054009289
"1992",3,14.6079662104964,0.159566544379228
"1993",1,5.18536585625559,0.33519611325973
"1993",3,13.6074442909816,0.178012977072427
"1994",1,4.39380819221852,0.446219364103473
"1994",3,15.4594766633077,0.213929057617439
"1995",1,5.18743792412184,0.377266647095491
"1995",3,14.6822460940601,0.19518195588084
"1996",1,4.70550864758348,0.668145934145772
"1996",3,13.9962517174958,0.202887521101915
"1997",1,4.59267794020429,0.498491947076491
"1997",3,14.9921952572088,0.227338889828517
"1998",1,6.16950099934235,0.281435235393448
"1998",3,13.8837222175963,0.157151322275598
"1999",1,5.47081611780782,0.376856681335
"1999",3,15.0068220372645,0.202146429481108
"2000",1,5.65568939412527,0.287438499860192
"2000",3,14.1635591319893,0.181139772199705
"2001",1,5.51656586540332,0.353488978072132
"2001",3,14.6823215933893,0.199350194026379
"2002",1,6.13090688127966,0.313742845446283
"2002",3,15.5662267210036,0.198647864463102
"2003",1,4.98303256824225,0.512498796493109
"2003",3,15.0273822410538,0.206365516358353
"2004",1,5.39737967812315,0.401220417710734
"2004",3,14.7848256846154,0.198694389889529
"2005",1,5.37175772069863,0.383090222170587
"2005",3,14.5055586428229,0.196335975087788
"2006",1,5.56432216903622,0.431546707855335
"2006",3,14.8873644721505,0.201523309466865
"2007",1,6.73582787704264,0.261590059570837
"2007",3,14.5697682942188,0.161141521407173
"2008",1,6.05507190497245,0.262029094101654
"2008",3,15.1085065916666,0.169288138458721
"2009",1,5.48189018127949,0.406829805869053
"2009",3,15.2059385791328,0.17429519255622
"2010",1,5.60382701682064,0.469118293472556
"2010",3,14.3317486932314,0.197821310507887
"2011",1,4.91089187762267,0.453951269161051
"2011",3,14.7385478245657,0.162916351570943
"2012",1,6.01308295622065,0.353800940009675
"2012",3,14.5781288696625,0.191943567170335
"2013",1,5.6484911121436,0.362932574128571
"2013",3,14.3988178954727,0.208150926142995
"2014",1,5.45615802615755,0.378254231885413
"2014",3,14.6320214170247,0.188805738224305
"2015",1,6.01745992983239,0.301854305442005
"2015",3,13.9166745898169,0.197004942829587
