,CV.CPUE,AgeDiversity,Abundance,AMO,SBT,CVofSBT,SST,CVofSST,theta,rho,pvalue,model_name,E
1,-0.0845,0.1735,-0.1109,-0.2195,NA,NA,NA,0.1934,0,0,1,Clupea harengus1,5
2,0.1599,-0.3372,0.137,0.299,-0.6565,-0.0796,NA,NA,0,0.51,2.00E-04,Gadus morhua1,6
3,0.4348,NA,NA,NA,-0.6313,NA,NA,NA,0.75,0.5,3.00E-04,Gadus morhua2,2
4,0.2682,0.153,0.1156,0.108,NA,-0.4019,NA,NA,3,-0.07,0.6556,Melanogrammus aeglefinus1,5
5,-0.0671,-0.508,-0.6863,0.3198,NA,NA,NA,NA,8,-0.08,0.6014,Merlangius merlangus1,4
6,-0.0139,NA,NA,NA,0.4448,NA,NA,NA,0.1,0.44,0.0356,Pleuronectes platessa1,2
7,-0.4621,NA,NA,NA,NA,0.605,NA,NA,3,0.33,0.0287,Pollachius virens1,2
8,-0.1518,-0.0114,-0.4519,-0.0332,NA,NA,0.3111,0.4501,3,0.76,0,Scomber scombrus1,6
9,-0.0645,0.2157,-0.0506,NA,NA,NA,NA,NA,6,0,1,Trisopterus esmarkii1,3
10,0.3073,0.5597,0.0787,-0.0226,-0.1214,1.2112,NA,NA,6,-0.14,0.3765,Trisopterus esmarkii2,6
