"Species","a","b","p_val","interval_low","interval_up"
"Clupea harengus",1.3574281783938,2.11450350529219,1.48661801199769e-15,1.74861305636004,2.48039395422433
"Gadus morhua",0.00287372742012539,2.56119632913027,7.92649074110768e-24,2.28801316277809,2.83437949548246
"Melanogrammus aeglefinus",3.83736852191713,1.61198147316355,2.0214456063362e-19,1.39179107232192,1.83217187400518
"Merlangius merlangus",1.98722216094628,1.96227914157484,1.044112581231e-15,1.6260688707154,2.29848941243427
"Pleuronectes platessa",2.94491445655767,1.69826975418338,2.08580662310495e-12,1.33359149888621,2.06294800948055
"Pollachius virens",2.35127586627483,2.15856739215795,5.35426960311037e-26,1.95362344409767,2.36351134021823
"Scomber scombrus",3.79843115157088,1.847374899892,4.39597273461218e-26,1.67277084728169,2.02197895250232
"Sprattus sprattus",0.0367472502744702,2.2892102446679,8.26306053646538e-29,2.10159373334531,2.4768267559905
"Trisopterus esmarkii",1.49551293538855,2.04193252543694,2.26086746300705e-23,1.8186682371902,2.26519681368369
